Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,18.450001,18.450001,18.450001,18.450001,16.092960,0
2021-04-05,18.820000,18.820000,18.820000,18.820000,16.415691,0
2021-04-06,18.639999,18.639999,18.639999,18.639999,16.258686,0
2021-04-07,18.680000,18.680000,18.680000,18.680000,16.293577,0
2021-04-08,18.850000,18.850000,18.850000,18.850000,16.441858,0
2021-04-09,18.110001,18.110001,18.110001,18.110001,16.416477,0
2021-04-12,18.090000,18.090000,18.090000,18.090000,16.398346,0
2021-04-13,18.059999,18.059999,18.059999,18.059999,16.371151,0
2021-04-14,17.840000,17.840000,17.840000,17.840000,16.171726,0
2021-04-15,18.219999,18.219999,18.219999,18.219999,16.516191,0
2021-04-16,18.100000,18.100000,18.100000,18.100000,16.407412,0
2021-04-19,17.629999,17.629999,17.629999,17.629999,15.981363,0
2021-04-20,17.350000,17.350000,17.350000,17.350000,15.727547,0
2021-04-21,17.809999,17.809999,17.809999,17.809999,16.144531,0
2021-04-22,17.340000,17.340000,17.340000,17.340000,15.718482,0
2021-04-23,17.719999,17.719999,17.719999,17.719999,16.062946,0
2021-04-26,18.030001,18.030001,18.030001,18.030001,16.343958,0
2021-04-27,17.889999,17.889999,17.889999,17.889999,16.217049,0
2021-04-28,17.639999,17.639999,17.639999,17.639999,15.990428,0
2021-04-29,17.750000,17.750000,17.750000,17.750000,16.090143,0
2021-04-30,17.209999,17.209999,17.209999,17.209999,15.600637,0
2021-05-03,17.000000,17.000000,17.000000,17.000000,15.410276,0
2021-05-04,16.719999,16.719999,16.719999,16.719999,15.156460,0
2021-05-05,16.799999,16.799999,16.799999,16.799999,15.228978,0
2021-05-06,16.910000,16.910000,16.910000,16.910000,15.328692,0
2021-05-07,17.200001,17.200001,17.200001,17.200001,15.591576,0
2021-05-10,16.440001,16.440001,16.440001,16.440001,14.902644,0
2021-05-11,16.500000,16.500000,16.500000,16.500000,14.957033,0
2021-05-12,15.750000,15.750000,15.750000,15.750000,14.277168,0
