Date,Open,High,Low,Close,Adj Close,Volume,simple_daily_return,gross_daily_return,log_daily_return,annualized_daily_simple_returns,annualized_daily_log_returns
2022-04-01,277.600006,283.200012,268.799988,276.799988,276.799988,49443,-0.00288190915961295,0.997118090840387,-0.0028860698555694952,0.48461353838745275,0.484106241561801
2022-04-04,277.600006,294.0,274.399994,286.799988,286.799988,71875,0.033141144816833945,1.033141144816834,0.03260381663797851,3581.5751767533093,3143.150719488713
2022-04-05,289.600006,292.0,270.799988,271.600006,271.600006,38330,-0.06215469484486125,0.9378453051551388,-0.06417026345394206,1.0114242884105392e-07,5.8939588746029534e-08
2022-04-06,270.0,273.600006,259.359985,262.799988,262.799988,47383,-0.026666711111111185,0.9733332888888888,-0.027028718050020828,0.0011315032387371848,0.0010306364462827793
2022-04-07,260.399994,262.0,245.0,249.199997,249.199997,62760,-0.043010742158465676,0.9569892578415343,-0.04396311241816431,1.613142674333443e-05,1.2564262091904256e-05
2022-04-08,248.0,248.399994,236.0,246.0,246.0,44298,-0.008064516129032251,0.9919354838709677,-0.00809721023262,0.13102072418766125,0.12994125153163052
2022-04-11,243.600006,251.800003,238.0,250.0,250.0,58133,0.02627255271906681,1.0262725527190668,0.02593335739596281,671.3379801685601,617.8838527772489
2022-04-12,252.0,259.519989,251.199997,252.0,252.0,50780,0.0,1.0,0.0,1.0,1.0
2022-04-13,256.0,272.0,249.199997,270.799988,270.799988,52085,0.05781245312499994,1.057812453125,0.05620305224541067,1338374.1489776424,913275.8336910967
2022-04-14,271.200012,272.799988,256.399994,266.399994,266.399994,45900,-0.017699180632779754,0.9823008193672202,-0.017857684170315302,0.01130761680552877,0.010858759243156553
2022-04-18,264.0,266.799988,229.800003,237.199997,237.199997,90723,-0.10151516287878792,0.8984848371212121,-0.1070454486703003,2.1438719137075594e-12,4.551642573789936e-13
2022-04-19,250.399994,268.0,239.800003,256.399994,256.399994,115660,0.023961661916014343,1.0239616619160143,0.023679086381296344,381.24822863422804,355.73085113741575
2022-04-20,256.399994,263.200012,247.600006,259.200012,259.200012,81813,0.010920507275830937,1.010920507275831,0.010861309128836538,15.274558349315473,15.051684895544742
2022-04-21,262.0,281.799988,260.799988,261.600006,261.600006,105770,-0.0015266946564884698,0.9984733053435115,-0.0015278612422733318,0.6814767312850162,0.6812769100911423
2022-04-22,263.600006,273.399994,257.600006,269.600006,269.600006,91145,0.022761759724694297,1.0227617597246943,0.022506575903231685,284.0500774627716,266.8047370520246
2022-04-25,265.200012,279.200012,258.399994,277.600006,277.600006,98358,0.04675713966408113,1.0467571396640811,0.04569694668590696,95791.92001347199,74278.96141456573
2022-04-26,282.399994,282.399994,254.600006,263.600006,263.600006,194433,-0.06657219688184546,0.9334278031181545,-0.06889165898251548,3.092173801924485e-08,1.655977773675735e-08
2022-04-27,263.600006,286.0,260.399994,277.200012,277.200012,202820,0.051593344804400365,1.0515933448044004,0.050306485215678265,304652.72159033065,224041.16293725386
2022-04-28,277.200012,287.600006,268.799988,287.200012,287.200012,158940,0.03607503451334626,1.0360750345133463,0.03543956835100737,7297.825135494162,6256.249164584388
2022-04-29,283.200012,290.200012,272.0,280.399994,280.399994,104738,-0.009887068790096043,0.990112931209904,-0.009936270430013217,0.08257866886992134,0.08155504236821076
2022-05-02,278.799988,280.399994,254.800003,264.0,264.0,172513,-0.053084607736783584,0.9469153922632164,-0.05454553269844453,1.132674726834048e-06,7.687677893091368e-07
2022-05-03,262.799988,286.0,261.399994,285.600006,285.600006,102290,0.0867580633222862,1.0867580633222862,0.08319901052547873,1173142217.6011147,514958120.129773
2022-05-04,285.600006,285.600006,262.799988,282.0,282.0,147648,-0.012605062760397856,0.9873949372396021,-0.012685180535719098,0.04142046011866588,0.040585378178960296
2022-05-05,280.399994,283.600006,253.800003,258.399994,258.399994,189978,-0.07845934547345246,0.9215406545265475,-0.0817083850737994,1.239194018770491e-09,5.106640657942435e-10
2022-05-06,258.0,271.600006,252.399994,266.799988,266.799988,153730,0.034108480620155035,1.034108480620155,0.03353968414233943,4529.925261279056,3945.6295477425556
2022-05-09,258.0,264.0,246.0,248.800003,248.800003,167638,-0.03565890310077513,0.9643410968992249,-0.03631021199871487,0.00011012844278491236,9.295044628691752e-05
2022-05-10,255.199997,259.76001,214.399994,225.600006,225.600006,211903,-0.11598742691207786,0.8840125730879221,-0.12328399349550079,3.6397279307145946e-14,4.54561718391734e-15
2022-05-11,220.0,228.199997,194.800003,204.0,204.0,257025,-0.07272727272727275,0.9272727272727272,-0.07550755250814589,5.875964151164204e-09,2.7653191962997493e-09
2022-05-12,204.399994,237.199997,190.399994,225.199997,225.199997,251890,0.10176127011040914,1.1017612701104091,0.09691005396870178,36640629091.916084,12103899182.097767
2022-05-13,230.399994,274.799988,230.0,270.399994,270.399994,331380,0.17361111563223397,1.173611115632234,0.16008541919939034,2.8221348516950464e+17,1.538091041020112e+16
2022-05-16,270.399994,280.200012,259.600006,260.799988,260.799988,154948,-0.03550298155701881,0.9644970184429812,-0.03614853793923256,0.00011468939201161921,9.69477492596877e-05
2022-05-17,268.0,280.799988,265.799988,279.600006,279.600006,151543,0.043283604477611926,1.043283604477612,0.04237305130802582,41590.86697660461,33405.418004173094
2022-05-18,268.0,287.799988,257.0,262.399994,262.399994,167633,-0.020895544776119435,0.9791044552238806,-0.021116946306776185,0.004989829575537006,0.0047144750282005175
2022-05-19,258.799988,286.799988,258.399994,278.0,278.0,134270,0.07418861240441799,1.074188612404418,0.07156559743174373,63272727.89707159,34253842.827446915
2022-05-20,281.200012,281.600006,250.0,270.0,270.0,170788,-0.03982934396176352,0.9601706560382365,-0.0406442436123875,3.7106991843660934e-05,2.998479821331524e-05
2022-05-23,270.799988,276.799988,260.200012,268.799988,268.799988,100408,-0.007385524699506263,0.9926144753004937,-0.007412932718836807,0.15557208083347798,0.15449758604429914
2022-05-24,264.399994,267.399994,240.800003,256.399994,256.399994,202243,-0.030257186768317346,0.9697428132316827,-0.030724383639062935,0.00044750614280513287,0.00039652371603563294
2022-05-25,254.0,275.0,253.279999,271.600006,271.600006,204140,0.06929136220472443,1.0692913622047244,0.06699615075731469,20096050.075998716,11718607.940340929
2022-05-26,270.799988,282.799988,267.600006,280.0,280.0,127993,0.03397345793087703,1.033973457930877,0.033409106444276304,4383.863610996319,3822.4634916677132
2022-05-27,280.0,323.200012,278.0,301.600006,301.600006,235550,0.07714287857142854,1.0771428785714285,0.07431205285845088,126067151.00949305,65124213.38867904
2022-05-31,300.0,302.200012,279.200012,291.600006,291.600006,450098,-0.027999979999999924,0.9720000200000001,-0.028399453945566755,0.0008021114935771594,0.000723477957030367
2022-06-01,290.0,292.200012,274.399994,280.799988,280.799988,112790,-0.03172417931034488,0.9682758206896551,-0.03223829356390695,0.00030603481605066986,0.0002678408345066686
2022-06-02,278.399994,301.200012,264.799988,300.799988,300.799988,144398,0.0804597502972646,1.0804597502972646,0.07738664527352679,272745030.8069412,133434636.37132324
2022-06-03,293.200012,302.600006,284.399994,292.0,292.0,165603,-0.004092810200840069,0.9959071897991599,-0.004101208671908552,0.35722002281092785,0.3564646990318323
2022-06-06,298.0,300.600006,272.0,276.399994,276.399994,143063,-0.07248324161073827,0.9275167583892617,-0.0752444163195598,6.277158065647228e-09,2.970075773786897e-09
