Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,141.500000,142.220001,141.050003,142.179993,135.384323,1023700
2021-04-05,143.160004,143.809998,143.020004,143.500000,136.641251,881800
2021-04-06,143.229996,143.880005,143.199997,143.399994,136.546036,782600
2021-04-07,143.440002,143.889999,142.860001,143.259995,136.412704,689200
2021-04-08,143.259995,143.279999,142.550003,143.210007,136.365128,649600
2021-04-09,143.479996,144.050003,143.149994,144.020004,137.136383,607100
2021-04-12,144.020004,144.279999,143.660004,144.039993,137.155426,483300
2021-04-13,143.529999,143.809998,142.839996,143.500000,136.641251,1062600
2021-04-14,143.389999,144.710007,143.389999,144.080002,137.193527,683100
2021-04-15,144.460007,144.910004,144.029999,144.779999,137.860077,1179500
2021-04-16,145.639999,145.880005,145.250000,145.600006,138.640884,692100
2021-04-19,145.479996,145.610001,144.770004,145.089996,138.155228,913300
2021-04-20,144.500000,144.669998,143.419998,143.839996,136.964981,1006900
2021-04-21,143.690002,145.649994,143.619995,145.490005,138.536148,992900
2021-04-22,145.500000,145.729996,144.100006,144.360001,137.460159,717100
2021-04-23,144.449997,146.039993,144.240005,145.529999,138.574219,536300
2021-04-26,145.789993,146.250000,145.320007,145.460007,138.507568,659300
2021-04-27,145.550003,145.960007,145.130005,145.759995,138.793243,746400
2021-04-28,145.919998,146.309998,145.729996,145.940002,138.964615,854800
2021-04-29,146.759995,147.429993,146.199997,147.289993,140.250092,865500
2021-04-30,146.660004,146.919998,146.029999,146.389999,139.393127,578000
2021-05-03,147.419998,148.070007,147.119995,147.490005,140.440552,521800
2021-05-04,147.139999,147.740005,146.339996,147.740005,140.678604,1246100
2021-05-05,148.130005,148.570007,147.509995,148.130005,141.049957,782200
2021-05-06,148.399994,149.500000,147.699997,149.449997,142.306885,724400
2021-05-07,149.020004,150.759995,148.860001,150.639999,143.439987,708000
2021-05-10,151.360001,152.229996,150.589996,150.610001,143.411438,978500
2021-05-11,149.539993,149.820007,147.729996,148.570007,141.468948,1655200
2021-05-12,148.399994,148.630005,145.850006,145.990005,139.012253,1206200
2021-05-13,145.990005,148.699997,145.960007,147.979996,140.907104,1055100
2021-05-14,148.610001,150.100006,148.610001,149.820007,142.659195,713800
2021-05-17,149.660004,150.089996,149.169998,149.720001,142.563950,562100
2021-05-18,149.759995,149.880005,148.339996,148.440002,141.345123,832800
2021-05-19,146.979996,147.559998,145.570007,147.500000,140.450073,2531600
2021-05-20,147.550003,148.869995,147.229996,148.270004,141.183258,2408200
2021-05-21,148.869995,149.720001,148.470001,148.800003,141.687943,666100
2021-05-24,149.580002,150.000000,149.119995,149.559998,142.411591,1467300
2021-05-25,149.889999,150.039993,148.570007,148.720001,141.611771,737400
2021-05-26,148.990005,149.210007,147.919998,149.029999,141.906906,785300
2021-05-27,149.839996,150.220001,149.440002,149.720001,142.563950,523600
2021-05-28,150.259995,150.259995,149.600006,149.860001,142.697266,885900
2021-06-01,151.089996,151.250000,150.070007,150.339996,143.154327,1250900
2021-06-02,150.699997,150.869995,150.059998,150.669998,143.468552,862600
2021-06-03,149.949997,150.979996,149.660004,150.690002,143.487610,1129700
2021-06-04,151.270004,151.389999,150.690002,151.250000,144.020844,851800
2021-06-07,151.509995,151.509995,150.669998,150.839996,143.630417,454300
2021-06-08,150.800003,150.850006,149.970001,150.639999,143.439987,612000
2021-06-09,150.690002,150.779999,150.089996,150.160004,142.982956,506800
2021-06-10,150.330002,150.639999,149.380005,149.539993,142.898834,528300
2021-06-11,149.880005,150.100006,149.309998,149.789993,143.137741,454600
2021-06-14,149.710007,149.770004,148.369995,149.100006,142.478378,460800
2021-06-15,149.309998,149.559998,148.720001,149.259995,142.631241,512000
2021-06-16,149.270004,149.270004,147.550003,148.250000,141.666122,815900
2021-06-17,148.289993,148.449997,145.570007,146.339996,139.840958,3520500
2021-06-18,144.740005,145.009995,143.550003,143.600006,137.222641,2535200
2021-06-21,144.600006,146.440002,144.529999,146.399994,139.898285,1476300
2021-06-22,146.460007,146.970001,145.770004,146.500000,139.993866,608800
2021-06-23,146.729996,146.789993,146.130005,146.149994,139.659393,524200
2021-06-24,146.839996,147.350006,146.529999,147.179993,140.643646,618000
2021-06-25,147.520004,148.460007,147.199997,148.220001,141.637466,751800
2021-06-28,148.250000,148.250000,146.860001,147.320007,140.777451,567000
2021-06-29,147.669998,148.080002,146.809998,146.899994,140.376083,563500
2021-06-30,146.800003,147.740005,146.800003,147.639999,141.083176,627600
