Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,277.600006,283.200012,268.799988,276.799988,276.799988,49443
2022-04-04,277.600006,294.000000,274.399994,286.799988,286.799988,71875
2022-04-05,289.600006,292.000000,270.799988,271.600006,271.600006,38330
2022-04-06,270.000000,273.600006,259.359985,262.799988,262.799988,47383
2022-04-07,260.399994,262.000000,245.000000,249.199997,249.199997,62760
2022-04-08,248.000000,248.399994,236.000000,246.000000,246.000000,44298
2022-04-11,243.600006,251.800003,238.000000,250.000000,250.000000,58133
2022-04-12,252.000000,259.519989,251.199997,252.000000,252.000000,50780
2022-04-13,256.000000,272.000000,249.199997,270.799988,270.799988,52085
2022-04-14,271.200012,272.799988,256.399994,266.399994,266.399994,45900
2022-04-18,264.000000,266.799988,229.800003,237.199997,237.199997,90723
2022-04-19,250.399994,268.000000,239.800003,256.399994,256.399994,115660
2022-04-20,256.399994,263.200012,247.600006,259.200012,259.200012,81813
2022-04-21,262.000000,281.799988,260.799988,261.600006,261.600006,105770
2022-04-22,263.600006,273.399994,257.600006,269.600006,269.600006,91145
2022-04-25,265.200012,279.200012,258.399994,277.600006,277.600006,98358
2022-04-26,282.399994,282.399994,254.600006,263.600006,263.600006,194433
2022-04-27,263.600006,286.000000,260.399994,277.200012,277.200012,202820
2022-04-28,277.200012,287.600006,268.799988,287.200012,287.200012,158940
2022-04-29,283.200012,290.200012,272.000000,280.399994,280.399994,104738
2022-05-02,278.799988,280.399994,254.800003,264.000000,264.000000,172513
2022-05-03,262.799988,286.000000,261.399994,285.600006,285.600006,102290
2022-05-04,285.600006,285.600006,262.799988,282.000000,282.000000,147648
2022-05-05,280.399994,283.600006,253.800003,258.399994,258.399994,189978
2022-05-06,258.000000,271.600006,252.399994,266.799988,266.799988,153730
2022-05-09,258.000000,264.000000,246.000000,248.800003,248.800003,167638
2022-05-10,255.199997,259.760010,214.399994,225.600006,225.600006,211903
2022-05-11,220.000000,228.199997,194.800003,204.000000,204.000000,257025
2022-05-12,204.399994,237.199997,190.399994,225.199997,225.199997,251890
2022-05-13,230.399994,274.799988,230.000000,270.399994,270.399994,331380
2022-05-16,270.399994,280.200012,259.600006,260.799988,260.799988,154948
2022-05-17,268.000000,280.799988,265.799988,279.600006,279.600006,151543
2022-05-18,268.000000,287.799988,257.000000,262.399994,262.399994,167633
2022-05-19,258.799988,286.799988,258.399994,278.000000,278.000000,134270
2022-05-20,281.200012,281.600006,250.000000,270.000000,270.000000,170788
